SNname,HostName,redshift,type,data_file,download_url
SN2006X,NGC 4321,0.00524,Ia,SN2006X_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006X_uvotB15.1.dat
SN2006dd,NGC 1316,0.00587,Ia,SN2006dd_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006dd_uvotB15.1.dat
SN2006dm,MCG -01-60-21,0.02202,Ia,SN2006dm_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006dm_uvotB15.1.dat
SN2006ej,NGC 191,0.02045,Ia,SN2006ej_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006ej_uvotB15.1.dat
SN2006mr,NGC 1316,0.00587,Ia,SN2006mr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2006mr_uvotB15.1.dat
SN2007S,UGC 5378,0.01388,Ia,SN2007S_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007S_uvotB15.1.dat
SN2007af,NGC 5584,0.005464,Ia,SN2007af_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007af_uvotB15.1.dat
SN2007ax,NGC 2577,0.006861,Ia-91bg,SN2007ax_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007ax_uvotB15.1.dat
SN2007bm,NGC 3672,0.006211,Ia,SN2007bm_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007bm_uvotB15.1.dat
SN2007co,MCG +05-43-16,0.016962,Ia,SN2007co_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007co_uvotB15.1.dat
SN2007cq,2MASX J22144070+0504435,0.025,Ia-91T,SN2007cq_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007cq_uvotB15.1.dat
SN2007cv,IC 2597,0.007562,Ia,SN2007cv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007cv_uvotB15.1.dat
SN2007gi,NGC 4036,0.00482,Ia,SN2007gi_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007gi_uvotB15.1.dat
SN2007on,NGC 1404,0.006494,Ia,SN2007on_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007on_uvotB15.1.dat
SN2007sr,NGC 4038,0.005688,Ia,SN2007sr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2007sr_uvotB15.1.dat
SN2008A,NGC 634,0.016428,Ia-02cx,SN2008A_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008A_uvotB15.1.dat
SN2008Q,NGC 524,0.007935,Ia,SN2008Q_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008Q_uvotB15.1.dat
SN2008ae,IC 577,0.030002,Ia-02cx,SN2008ae_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008ae_uvotB15.1.dat
SN2008cg,PGC 91487,0.036,Ia-CSM?,SN2008cg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008cg_uvotB15.1.dat
SN2008dx,NGC 4898A,0.035,Ia-91bg,SN2008dx_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008dx_uvotB15.1.dat
SN2008ec,NGC 7469,0.016317,Ia,SN2008ec_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008ec_uvotB15.1.dat
SN2008ge,NGC 1527,0.004043,Ia,SN2008ge_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008ge_uvotB15.1.dat
SN2008ha,UGC 12682,0.004647,Ia,SN2008ha_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008ha_uvotB15.1.dat
SN2008hs,NGC 910,0.017369,Ia,SN2008hs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008hs_uvotB15.1.dat
SN2008hv,NGC 2765,0.012549,Ia,SN2008hv_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2008hv_uvotB15.1.dat
SN2009Y,NGC 5728,0.009353,Ia,SN2009Y_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009Y_uvotB15.1.dat
