Parameter Name                 Value
m0                             6.866234819051610e-04
m0                             2.139391772050295e-03
m0                             2.472641736541569e-03
m0                             1.569879033309097e-03
m0                             2.315892859631314e-03
m0                             1.425945431856836e-03
m0                             2.314879089539353e-03
m0                             1.383184137969563e-03
m0                             -1.158192764617071e-04
m0                             1.561705795877710e-03
m0                             2.159572796821425e-03
m0                             1.620227612519048e-03
m0                             2.299125751174922e-03
m0                             2.509340608642306e-03
m0                             2.630294592575513e-03
m0                             2.493421077480757e-03
m0                             1.213734273049991e-03
m0                             1.329234711778972e-03
m0                             1.665035874918409e-03
m0                             2.260481047772413e-04
m0                             8.709660161627396e-04
m0                             -6.541167282571302e-04
m0                             1.872383548243553e-03
m0                             3.338244793133186e-03
m0                             -6.265436113511887e-04
m0                             5.113629012877163e-03
m0                             -1.720751998795495e-03
m0                             1.169792114944794e-03
m0                             -1.197889025406139e-03
m0                             -2.416841381792154e-03
m0                             3.333400873742852e-03
m0                             -1.046766282747266e-03
m0                             5.266775348574105e-03
m0                             -1.388016042794303e-03
m0                             2.682119034968553e-03
m0                             2.023223986053364e-03
m0                             4.810303090422890e-04
m0                             1.718805640130555e-03
m0                             -8.924580431189817e-04
m0                             1.280055667640126e-04
m0                             -3.817826347563183e-04
m0                             1.029989962799162e-03
m0                             5.932915647369337e-05
m0                             2.256527714416331e-03
m0                             2.753926543560996e-04
m0                             1.484611547562225e-03
m0                             4.620150200150296e-05
m0                             1.265416893130997e-03
m0                             1.158302854007615e-03
m0                             9.781810713815973e-04
m0                             2.853221350501975e-03
m0                             -1.975261702263527e-04
m0                             8.143669832191164e-03
m0                             1.299086816327580e-02
m0                             1.788481031910654e-02
m0                             1.376925934939032e-02
m0                             1.447996007207369e-02
m0                             1.644490452405962e-02
m0                             9.252633265039313e-03
m0                             7.514681134664466e-03
m0                             8.438685736803779e-03
m0                             5.382495394099377e-03
m0                             1.037104682905707e-03
m0                             1.119296701869158e-03
m0                             1.333317141128561e-03
m0                             6.856290068036323e-04
m0                             2.399479390075727e-04
m0                             1.527586002536896e-03
m0                             2.514444614449167e-03
m0                             1.301001663232042e-03
m0                             3.217347534198013e-03
m0                             2.644911320100235e-03
m0                             2.204069248922685e-03
m0                             3.723465263568399e-03
m0                             1.267761438551557e-03
m0                             -1.614066525802807e-03
m0                             -2.653710301866673e-02
m0                             -1.544661086196972e-02
m0                             -6.154676231290119e-02
m0                             -6.895087712859750e-02
m0                             -4.735559355303128e-02
m0                             -7.222542918022139e-02
m0                             -7.980244565261752e-02
m0                             -1.158735042687668e-01
m0                             -1.064082104950099e-01
m0                             -9.199361727980829e-02
m0                             -4.917891314098510e-03
m0                             -4.822828339184840e-02
m0                             -5.637835361181634e-02
m0                             -6.652711663274337e-02
m0                             -7.441605320195477e-02
m0                             -5.961322275407621e-02
m0                             -8.361562804195796e-02
m0                             -5.765159323958741e-02
m0                             -5.388833562353978e-02
m0                             -3.190745734006567e-02
m0                             -7.596410907532471e-02
m0                             -3.598876586089592e-02
m0                             -4.203355222534533e-02
m0                             -2.593573388757192e-02
m0                             -3.934889704799664e-02
m0                             -2.409151100593540e-02
m0                             -4.108655010539931e-02
m0                             -3.385265720544299e-02
m0                             -3.196529555417808e-02
m0                             -2.249469237870792e-02
m0                             -3.159228940377409e-02
m0                             -2.387556545712332e-02
m0                             -3.302926821969557e-02
m0                             -1.530236041376720e-02
m0                             -2.177468521317920e-02
m0                             -1.708835091373053e-02
m0                             -2.012021378477237e-02
m0                             -2.345729111966843e-02
m0                             -1.627237595917673e-02
m0                             -2.683468544870875e-02
m0                             -1.836997647261768e-02
m0                             -1.786485543318621e-02
m0                             -2.404177890946692e-02
m0                             -1.710593999532157e-02
m0                             -1.712306423545449e-02
m0                             -1.742616930455096e-02
m0                             -1.433880896268117e-02
m0                             -1.306090055257865e-02
m0                             -2.216868283572599e-02
m0                             -1.628918189985683e-02
m0                             -1.870990578754224e-02
m0                             -1.230196207352841e-02
m0                             -1.981760464933908e-02
m0                             -1.542825570275004e-02
m0                             -1.552688641105809e-02
m0                             -1.799102926673167e-02
m0                             -1.460330245953863e-02
m0                             -1.741090159598091e-02
m0                             -1.315783352777971e-02
m0                             -1.327086087830333e-02
m0                             -1.182108655318321e-02
m0                             -1.467334280498097e-02
m0                             -1.169842783967289e-02
m0                             -1.625171760185783e-02
m0                             -1.373741636007948e-02
m0                             -1.222223711322892e-02
m0                             -8.659269369932554e-03
m0                             -1.746524813865025e-02
m0                             -8.809254772627183e-03
m0                             -1.148511663665837e-02
m0                             -6.867914493852838e-03
m0                             -3.766249870754396e-03
m0                             -9.502578203031770e-03
m0                             -7.575381410138880e-03
m0                             -1.337333382515634e-02
m0                             -1.073793721264386e-02
m0                             -1.554582433753529e-02
m0                             -9.641413498642995e-03
m0                             -1.277980705138765e-02
m0                             -2.360978705620603e-03
m0                             -4.286187481380400e-03
m0                             -3.046812444193783e-03
m0                             -3.427398185994992e-04
m0                             -4.258653023663016e-03
m0                             -1.476825713948119e-03
m0                             -5.738299899913792e-03
m0                             -2.067695008483816e-03
m0                             -4.483417873639395e-03
m0                             -2.569430286813500e-03
m0                             -2.265462711676313e-03
m0                             7.298282776464312e-04
m0                             -6.010049551388005e-03
m0                             -6.733235950677750e-03
m0                             -7.533409530902620e-04
m0                             -6.077854785065698e-03
m0                             -1.294676900838596e-03
m0                             -1.801733813047109e-03
m0                             1.637076680329692e-03
m0                             -4.161262845546067e-05
m0                             -1.141902167824052e-03
m0                             -3.011212986033890e-04
m0                             5.311589627872477e-04
m0                             -1.945619108841682e-03
m0                             4.347320025018100e-03
m0                             -4.096450624632776e-03
m0                             8.527544512914020e-03
m0                             1.299419760915872e-02
m0                             1.827774930346187e-02
m0                             1.384371366695680e-02
m0                             1.464870816833919e-02
m0                             1.658744799917297e-02
m0                             9.333226803762225e-03
m0                             7.612397244427247e-03
m0                             8.460292162178524e-03
m0                             5.496890053339976e-03
m0                             1.047613052135781e-03
m0                             1.158673911347412e-03
m0                             1.395649888187766e-03
m0                             6.976793636909689e-04
m0                             2.982373976100761e-04
m0                             1.526842432900563e-03
m0                             1.697375516074472e-03
m0                             1.158015038275943e-03
m0                             1.230906928968091e-03
m0                             1.686812308569774e-03
m0                             6.636261166329448e-05
m0                             -5.426750175221823e-03
m0                             -3.399938281434017e-03
m0                             2.051488035255219e-03
m0                             3.650108902296747e-02
m0                             1.711840752575318e-02
m0                             9.692406246572637e-02
m0                             1.001223372946327e-01
m0                             4.811409112531803e-02
m0                             1.099424542711417e-01
m0                             5.662633411802195e-02
m0                             1.203519471136152e-01
m0                             1.445374227037046e-01
m0                             1.363114491190294e-01
m0                             -1.099001127680344e-02
m0                             1.027570560573897e-01
m0                             9.479966329576624e-02
m0                             1.789000304862549e-01
m0                             1.719187130924955e-01
m0                             1.566254469566575e-01
m0                             2.044045936459492e-01
m0                             1.515897370789284e-01
m0                             1.458499172909455e-01
m0                             9.780967486023384e-02
m0                             1.549100229777769e-01
m0                             9.490989148397001e-02
m0                             1.421522159663453e-01
m0                             9.694328678498251e-02
m0                             1.121684639280328e-01
m0                             8.328743795539424e-02
m0                             1.043555373943685e-01
m0                             8.197805919551875e-02
m0                             8.089732138401370e-02
m0                             8.066759220429030e-02
m0                             1.041062015633787e-01
m0                             9.841642984466280e-02
