Parameter Name                 Value
m0                             -1.300973326730451e-03
m0                             1.185408233593716e-04
m0                             4.357495835871185e-04
m0                             -1.694702750513268e-03
m0                             4.357747490056407e-03
m0                             -3.903502005960471e-03
m0                             8.737932032144242e-03
m0                             1.291839971136061e-02
m0                             1.813097026273371e-02
m0                             1.345491120981674e-02
m0                             1.421950988456383e-02
m0                             1.611126467285962e-02
m0                             9.229699948446793e-03
m0                             7.555881772125453e-03
m0                             8.399143728587981e-03
m0                             5.422521395592876e-03
m0                             9.972294628237345e-04
m0                             1.108049364407575e-03
m0                             1.385298774301786e-03
m0                             6.679069171968144e-04
m0                             2.720599994627108e-04
m0                             1.502121786405466e-03
m0                             1.719067761952816e-03
m0                             1.179937694912153e-03
m0                             1.404559813795032e-03
m0                             1.841418920520210e-03
m0                             2.579501957783150e-04
m0                             -5.113506251521432e-03
m0                             -2.301802656807750e-03
m0                             1.755659396701172e-03
m0                             4.264191035985392e-02
m0                             1.995287308297944e-02
m0                             9.909475389170133e-02
m0                             1.034161927707898e-01
m0                             4.792912839454997e-02
m0                             1.136554897377038e-01
m0                             5.632136038088614e-02
m0                             1.241078091037068e-01
m0                             1.452280790595556e-01
m0                             1.371529412339093e-01
m0                             -9.087802301747671e-03
m0                             1.042969337624021e-01
m0                             9.776874523124118e-02
m0                             1.782395869152738e-01
m0                             1.747231276391871e-01
m0                             1.580126898244938e-01
m0                             2.049184446008023e-01
m0                             1.524316942470355e-01
m0                             1.458947218342748e-01
m0                             9.897094948398565e-02
m0                             1.552514074581194e-01
m0                             9.583622712374124e-02
m0                             1.417474069627340e-01
m0                             9.797928421712898e-02
m0                             1.144012003463839e-01
m0                             8.508004185751063e-02
m0                             1.063874934045026e-01
m0                             8.450403586105262e-02
m0                             8.166093008074608e-02
m0                             8.080843762032487e-02
m0                             1.045300267190478e-01
m0                             9.895114720873509e-02
m0                             1.039675617354126e-01
m0                             7.290240812907550e-02
m0                             8.716621613180656e-02
m0                             6.256238330602303e-02
m0                             7.407028325072479e-02
m0                             7.108915164257834e-02
m0                             7.142504411581149e-02
m0                             7.671550192980389e-02
m0                             6.312914488811508e-02
m0                             6.589948689148568e-02
m0                             7.288165122398850e-02
m0                             5.130881021309711e-02
m0                             3.936459240730374e-02
m0                             4.225291031984506e-02
m0                             5.337613548381890e-02
m0                             6.230611738992095e-02
m0                             6.927364386296746e-02
m0                             6.309733196507215e-02
m0                             6.554715915716475e-02
m0                             5.875797348434636e-02
m0                             6.321513361644207e-02
m0                             5.667759375839538e-02
