Parameter Name                 Value
m0                             -3.810129189974358e-02
m0                             -5.069013031388681e-02
m0                             -3.270470305980468e-02
m0                             -3.904421817412862e-02
m0                             -2.444688754634541e-02
m0                             -4.052957244513627e-02
m0                             -3.538368901451942e-02
m0                             -3.248848294307544e-02
m0                             -2.249512472443574e-02
m0                             -3.133235342402424e-02
m0                             -2.356559431779928e-02
m0                             -3.129083878447509e-02
m0                             -1.548535294634750e-02
m0                             -1.989045515654285e-02
m0                             -1.787927146061192e-02
m0                             -1.719116778826640e-02
m0                             -2.376527046836057e-02
m0                             -1.334877955256465e-02
m0                             -2.688861672305076e-02
m0                             -1.555541568159761e-02
m0                             -2.104942570392737e-02
m0                             -2.413229621819666e-02
m0                             -1.828714684177481e-02
m0                             -1.664185727322295e-02
m0                             -1.946188483989045e-02
m0                             -1.183493713432494e-02
m0                             -1.597897643278995e-02
m0                             -1.883566046050131e-02
m0                             -2.095562355843990e-02
m0                             -1.627266804323481e-02
m0                             -1.572407392173021e-02
m0                             -1.830970845627559e-02
m0                             -1.569461690220805e-02
m0                             -1.558255416208571e-02
m0                             -1.707124419232049e-02
m0                             -1.510042599598145e-02
m0                             -1.690497344802871e-02
m0                             -1.255434532247964e-02
m0                             -1.382266761571351e-02
m0                             -1.072534272973024e-02
m0                             -1.550704034478253e-02
m0                             -1.361131192551802e-02
m0                             -1.523470992677288e-02
m0                             -1.477842135962686e-02
m0                             -1.065284844524341e-02
m0                             -9.536256247464975e-03
m0                             -1.109213089689919e-02
m0                             -9.952780889000683e-03
m0                             -1.090990145932338e-02
m0                             -7.611962479402121e-03
m0                             -5.085836481313489e-03
m0                             -8.049131225713163e-03
m0                             -4.497103926321500e-03
m0                             -9.337126109414893e-03
m0                             -5.036047886302936e-03
m0                             -7.395016400225817e-03
m0                             -6.682343102757668e-03
m0                             -8.571199507736238e-03
m0                             -3.323094892054336e-03
m0                             -3.919736141492993e-03
m0                             -3.445630400675016e-03
m0                             -7.003673352221264e-04
m0                             -1.820245676822876e-03
m0                             4.333216959946542e-04
m0                             -2.567762521461151e-03
m0                             2.628694982375063e-03
m0                             2.296041467499910e-03
m0                             4.527954205502525e-03
m0                             4.961581976688163e-03
m0                             4.250408634813600e-03
m0                             7.944097994075043e-03
m0                             6.141581322084369e-03
m0                             8.954241900842767e-03
m0                             7.892354520452139e-03
m0                             9.800001748999518e-03
m0                             9.357142516711913e-03
m0                             1.032507592284599e-02
m0                             1.030019263481837e-02
m0                             1.060208193501156e-02
m0                             1.173315725771222e-02
m0                             1.093592006477660e-02
m0                             1.159816665894772e-02
m0                             1.071554047646232e-02
m0                             9.765383058779366e-03
m0                             8.919140410675918e-03
m0                             8.412297183563561e-03
m0                             8.276394341375058e-03
m0                             8.047877250194782e-03
m0                             7.846011486914587e-03
m0                             7.635431990277544e-03
m0                             7.449378150682002e-03
m0                             7.195865831161431e-03
m0                             6.914789302758935e-03
m0                             6.914256502476568e-03
m0                             4.715029027789306e-04
m0                             1.364546609460409e-03
m0                             7.054935361336810e-04
m0                             1.868731210242429e-03
m0                             2.036207380153604e-03
m0                             2.053142555102780e-03
m0                             2.247212962221243e-03
m0                             1.848586058477421e-03
m0                             4.572905371184402e-03
m0                             -4.403440240698281e-03
m0                             -1.621584260763481e-02
m0                             -2.719709128816550e-02
m0                             2.493489241925946e-02
m0                             7.413496960850179e-02
m0                             9.613086252559876e-02
m0                             -9.432051180494103e-03
m0                             8.168957666474355e-02
m0                             7.783482138516939e-02
m0                             1.387228281365957e-01
m0                             1.278147149346687e-01
m0                             1.711484546166577e-01
m0                             -2.485364366909072e-02
m0                             9.799630111300967e-02
m0                             9.110232109126121e-02
m0                             1.762471444920180e-01
m0                             1.870768768980129e-01
m0                             1.597337347676715e-01
m0                             2.119526895603602e-01
m0                             1.631107594735244e-01
m0                             1.539601344603926e-01
m0                             9.947112234715405e-02
m0                             1.564238072497382e-01
m0                             9.258259954937981e-02
m0                             1.485689999384564e-01
m0                             1.039972953063589e-01
m0                             1.118482676305556e-01
m0                             8.455965369742871e-02
m0                             1.027142059063196e-01
m0                             8.461630639821681e-02
m0                             8.006098365312271e-02
m0                             7.909699097561164e-02
m0                             1.017037859350565e-01
m0                             9.884925536790920e-02
m0                             1.030023100831142e-01
