Parameter Name                 Value
m0                             4.338849069696773e-02
m0                             4.332198333399799e-02
m0                             4.382001359283412e-02
m0                             4.197633458117134e-02
m0                             3.893701191925112e-02
m0                             3.969214524009728e-02
m0                             3.816737752686604e-02
m0                             3.452907488750515e-02
m0                             2.899757873255174e-02
m0                             2.963975374650464e-02
m0                             3.085287614148566e-02
m0                             3.261249757154681e-02
m0                             2.272807960976123e-02
m0                             1.814520124395828e-02
m0                             1.742625333308045e-02
m0                             1.609726302997807e-02
m0                             2.343434799447482e-02
m0                             1.726376111883248e-02
m0                             2.174245595805306e-02
m0                             2.190620987399562e-02
m0                             2.530590061438857e-02
m0                             2.578804065694387e-02
m0                             2.607376189043607e-02
m0                             2.658148042212384e-02
m0                             2.451109971257520e-02
m0                             2.527765150206978e-02
m0                             2.304429196870415e-02
m0                             2.214466044545021e-02
m0                             1.641923886964163e-02
m0                             1.708335733529661e-02
m0                             1.722957403152298e-02
m0                             1.651248522726824e-02
m0                             1.614689938945848e-02
m0                             1.298022396342687e-02
m0                             1.478227869738997e-02
m0                             1.174692582160275e-02
m0                             1.482874523326091e-02
m0                             1.112763635366291e-02
m0                             1.564051198485724e-02
m0                             1.040832674296065e-02
m0                             1.389042089142268e-02
m0                             1.313504269209803e-02
m0                             1.390563172916316e-02
m0                             1.332875210555759e-02
m0                             1.207205231158065e-02
m0                             1.194782393683941e-02
m0                             1.022521669075643e-02
m0                             8.822379888176834e-03
m0                             8.227148109571817e-03
m0                             8.091196134469640e-03
m0                             7.927779446442211e-03
m0                             7.683000152316763e-03
m0                             7.484977092189813e-03
m0                             7.303180868353846e-03
m0                             7.023354630798792e-03
m0                             6.769925870439904e-03
m0                             6.767954631103925e-03
m0                             4.293293757657391e-03
m0                             3.277867971712974e-03
m0                             3.172328916284374e-03
m0                             3.593564091510641e-03
m0                             3.305974660676084e-03
m0                             3.949701567039024e-03
m0                             7.272877009498009e-03
m0                             6.597447102042769e-03
m0                             2.164612569466081e-02
m0                             4.484416477258873e-02
m0                             2.056072209153073e-01
m0                             3.290940286471458e-01
m0                             2.227912705736037e-01
m0                             2.718916107353611e-01
m0                             3.299334214933607e-01
m0                             2.516446602430250e-01
m0                             1.721074050832559e-01
m0                             3.214797823285466e-01
m0                             2.951883300683954e-01
m0                             4.735579312423802e-01
m0                             3.801158777882089e-01
m0                             4.649730423466106e-01
m0                             7.632016851541921e-02
m0                             2.789436520889531e-01
m0                             2.550559490432611e-01
m0                             5.347799980391993e-01
m0                             4.281626647526033e-01
m0                             4.356620016577631e-01
m0                             4.968895907967452e-01
m0                             3.746754021997367e-01
m0                             2.685328991675394e-01
m0                             2.304961266100530e-01
m0                             3.218294453516823e-01
m0                             2.834369480186336e-01
